event_id,event_type,event_subtype,status,location_id,location_name,country,start_date,end_date,duration_days,total_precipitation_mm,maximum_daily_precipitation_mm,maximum_temperature_c,minimum_temperature_c,maximum_wind_speed_kmh,maximum_wind_gusts_kmh,rolling_precipitation_mm,lookback_days,critical_window_start,critical_window_end,critical_rolling_precipitation_mm,percentile_threshold,absolute_threshold,severity_score,severity_score_raw,severity_percentile,related_rainfall_event_id,related_wind_event_id,derivation_method,source_date_start,source_date_end,source_dataset,inferred,caveat
drought_aa3d21542051,Drought,meteorological_drought_indicator,derived_indicator,af_herat,Herat,Afghanistan,2021-01-30,2021-02-19,21,1.2000000000000002,0.8,26.2,-2.0,27.9,50.0,1.0,30.0,2021-01-01,2021-01-30,1.0,13.100000000000009,,13.1,13.1,0.743363,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-01,2021-01-30,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_18ecc6f6d433,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2022-10-13,2022-10-30,18,0.0,0.0,32.3,13.4,27.1,42.1,0.4,30.0,2022-09-18,2022-10-17,0.4,0.9,,2.25,2.25,0.570796,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-09-18,2022-10-17,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_80c2c81cb916,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2023-08-07,2023-08-18,12,0.0,0.0,43.2,25.0,31.9,54.0,2.100000000000001,30.0,2023-07-09,2023-08-07,2.100000000000001,2.180000000000001,,1.0381,1.0381,0.402655,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-07-09,2023-08-07,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_1be510c9e025,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2023-08-28,2023-09-22,26,0.3,0.3,40.2,24.8,31.8,53.6,0.0,30.0,2023-08-21,2023-09-19,0.0,2.180000000000001,,2180.0,2180.0,0.946903,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-08-21,2023-09-19,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_448fcbe25238,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2023-12-31,2024-01-24,25,0.0,0.0,19.6,4.1,10.3,22.7,0.0,30.0,2023-12-02,2023-12-31,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-12-02,2023-12-31,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_1281f0a3bc24,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2025-05-20,2025-05-31,12,0.9,0.8,44.5,20.0,35.3,68.4,3.6,30.0,2025-04-21,2025-05-20,3.6,4.9,,1.3611,1.3611,0.455752,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-04-21,2025-05-20,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_7241f4e69459,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2025-11-19,2025-11-30,12,0.0,0.0,22.8,3.5,10.1,24.1,0.7,30.0,2025-10-21,2025-11-19,0.7,0.7,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-10-21,2025-11-19,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_d6f2f242c2d3,Drought,meteorological_drought_indicator,derived_indicator,af_jalalabad,Jalalabad,Afghanistan,2025-12-04,2025-12-19,16,0.0,0.0,22.8,6.0,8.8,21.6,0.0,30.0,2025-11-05,2025-12-04,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-11-05,2025-12-04,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_5ad364fbe388,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2021-02-06,2021-02-20,15,0.0,0.0,16.2,-4.6,15.6,28.4,3.2,30.0,2021-01-08,2021-02-06,3.2,3.2,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-08,2021-02-06,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_d98943349488,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2022-04-07,2022-04-17,11,3.7,2.3,27.7,6.5,25.8,46.8,0.19999999999999646,30.0,2022-03-10,2022-04-08,0.19999999999999646,5.999999999999992,,30.0,30.0,0.769912,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-03-10,2022-04-08,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_01812ce3e64b,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2022-06-09,2022-06-20,12,0.0,0.0,32.6,13.1,33.8,58.3,0.0,30.0,2022-05-11,2022-06-09,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-05-11,2022-06-09,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_214a442ab65e,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2022-10-13,2022-10-31,19,0.1,0.1,25.0,2.8,30.1,54.7,0.0,30.0,2022-09-14,2022-10-13,0.0,0.0999999999999929,,100.0,100.0,0.80531,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-09-14,2022-10-13,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_1c9924032650,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2023-08-24,2023-09-27,35,0.0,0.0,34.2,9.1,31.0,53.6,0.0,30.0,2023-07-26,2023-08-24,0.0,0.7399999999999972,,740.0,740.0,0.915929,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-07-26,2023-08-24,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_37a7abb46cfd,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2024-01-14,2024-01-24,11,0.0,0.0,13.7,-5.1,12.3,18.7,0.0,30.0,2023-12-25,2024-01-23,0.0,1.0999999999999928,,1100.0,1100.0,0.929204,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-12-25,2024-01-23,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_71c4fb71581b,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2025-07-01,2025-07-12,12,0.0,0.0,38.6,15.8,33.9,67.3,0.7999999999999929,30.0,2025-06-02,2025-07-01,0.7999999999999929,1.299999999999993,,1.625,1.625,0.50885,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-06-02,2025-07-01,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_a0bc7e6ea939,Drought,meteorological_drought_indicator,derived_indicator,af_kabul,Kabul,Afghanistan,2025-11-05,2025-12-19,45,0.0,0.0,20.0,-3.0,12.9,29.2,0.0,30.0,2025-10-21,2025-11-19,0.0,0.09999999999999112,,100.0,100.0,0.80531,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-10-21,2025-11-19,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_f9598f09bebd,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2021-01-30,2021-02-20,22,0.4,0.4,26.0,-1.8,20.9,41.8,0.0,30.0,2021-01-01,2021-01-30,0.0,3.8499999999999925,,3850.0,3850.0,0.964602,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-01,2021-01-30,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_3f4b9c02401e,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2021-06-03,2021-12-03,184,0.0,0.0,44.8,-0.4,30.7,61.6,0.0,30.0,2021-05-05,2021-06-03,0.0,0.11999999999999726,,120.0,120.0,0.838496,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-05-05,2021-06-03,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_6cdbb4529b87,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2022-04-07,2022-04-16,10,0.0,0.0,35.9,13.8,23.8,49.0,0.0,30.0,2022-03-09,2022-04-07,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-03-09,2022-04-07,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_83ddfc054e22,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2022-05-19,2022-07-06,49,0.0,0.0,45.0,16.0,35.6,65.9,0.0,30.0,2022-04-20,2022-05-19,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-04-20,2022-05-19,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_c8444b5456e4,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2022-09-25,2022-11-03,40,0.0,0.0,34.2,5.8,19.3,36.7,0.0,30.0,2022-08-27,2022-09-25,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-08-27,2022-09-25,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_f3c09657a318,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2023-06-22,2023-11-04,136,0.0,0.0,45.0,8.6,32.0,61.9,0.0,30.0,2023-05-24,2023-06-22,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-05-24,2023-06-22,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_40114e4f1414,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2024-01-15,2024-01-25,11,0.5,0.5,19.1,-0.9,16.3,33.8,3.2999999999999927,30.0,2023-12-17,2024-01-15,3.2999999999999927,3.8499999999999925,,1.1667,1.1667,0.420354,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-12-17,2024-01-15,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_6011f3805f47,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2024-06-16,2024-08-30,76,0.0,0.0,46.0,19.5,34.5,65.5,0.0,30.0,2024-05-18,2024-06-16,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2024-05-18,2024-06-16,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_5558f47b0099,Drought,meteorological_drought_indicator,derived_indicator,af_kandahar,Kandahar,Afghanistan,2025-04-25,2025-12-13,233,0.0,0.0,44.7,-2.0,32.4,61.6,0.0,30.0,2025-03-27,2025-04-25,0.0,0.11999999999999726,,120.0,120.0,0.838496,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-03-27,2025-04-25,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_cf82eb369064,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2021-02-04,2021-02-13,10,0.0,0.0,17.9,-5.0,19.7,34.9,0.0,30.0,2021-01-06,2021-02-04,0.0,0.10000000000000178,,100.0,100.0,0.80531,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-06,2021-02-04,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_98c69d0d63f3,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2022-03-09,2022-03-19,11,0.0,0.0,25.6,4.7,21.2,40.0,0.1999999999999998,30.0,2022-02-08,2022-03-09,0.1999999999999998,0.2000000000000009,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-02-08,2022-03-09,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_8d480ed69c9f,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2022-12-20,2023-01-11,23,0.0,0.0,6.8,-10.4,12.4,29.9,0.0,30.0,2022-11-21,2022-12-20,0.0,0.1000000000000009,,100.0,100.0,0.80531,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-11-21,2022-12-20,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_8b7d0ba435b4,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2023-03-23,2023-04-19,28,0.0,0.0,30.5,0.4,36.2,69.5,0.0,30.0,2023-03-03,2023-04-01,0.0,0.2000000000000009,,200.0,200.0,0.853982,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-03-03,2023-04-01,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_3265617b48cf,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2023-10-23,2023-11-09,18,0.0,0.0,24.4,3.2,23.4,43.9,0.0,30.0,2023-10-08,2023-11-06,0.0,0.30000000000000177,,300.0,300.0,0.882743,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-10-08,2023-11-06,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_ca518aa82dc1,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2024-01-16,2024-01-28,13,0.0,0.0,7.2,-8.6,10.9,27.4,0.1000000000000009,30.0,2023-12-18,2024-01-16,0.1000000000000009,0.1000000000000009,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-12-18,2024-01-16,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_78322664856b,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2024-05-01,2024-05-24,24,0.0,0.0,36.7,10.2,35.6,62.6,0.3000000000000009,30.0,2024-04-02,2024-05-01,0.3000000000000009,0.3000000000000009,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2024-04-02,2024-05-01,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_94478992de90,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2024-10-04,2024-10-17,14,0.0,0.0,25.2,9.3,20.4,36.4,0.30000000000000177,30.0,2024-09-05,2024-10-04,0.30000000000000177,0.30000000000000177,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2024-09-05,2024-10-04,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_47693f21a81d,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2025-02-05,2025-02-17,13,0.0,0.0,9.2,-6.2,17.1,36.0,0.10000000000000178,30.0,2025-01-07,2025-02-05,0.10000000000000178,0.10000000000000178,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-01-07,2025-02-05,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_2f7fee185965,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2025-06-13,2025-07-10,28,0.1,0.1,39.9,21.0,30.6,54.4,0.10000000000000178,30.0,2025-06-02,2025-07-01,0.10000000000000178,1.0000000000000018,,10.0,10.0,0.725664,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-06-02,2025-07-01,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_59ba4898432d,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2025-09-18,2025-09-30,13,0.6,0.6,30.5,9.8,25.4,44.3,0.0,30.0,2025-08-20,2025-09-18,0.0,0.9600000000000003,,960.0,960.0,0.920354,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-08-20,2025-09-18,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_5bdc238f325b,Drought,meteorological_drought_indicator,derived_indicator,cn_hotan,Hotan,China,2025-12-05,2025-12-21,17,0.0,0.0,15.4,-7.1,19.7,34.9,0.0,30.0,2025-11-06,2025-12-05,0.0,0.0,,1.0,1.0,0.201327,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2025-11-06,2025-12-05,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_c8421621550f,Drought,meteorological_drought_indicator,derived_indicator,cn_kashgar,Kashgar,China,2021-01-30,2021-02-12,14,0.2,0.2,16.9,-7.7,16.1,31.7,0.0,30.0,2021-01-08,2021-02-06,0.0,0.29999999999999916,,300.0,300.0,0.882743,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-01-08,2021-02-06,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_ed057e7050c5,Drought,meteorological_drought_indicator,derived_indicator,cn_kashgar,Kashgar,China,2021-06-01,2021-06-14,14,0.0,0.0,36.8,17.0,27.1,55.1,0.7,30.0,2021-05-16,2021-06-14,0.7,8.0,,11.4286,11.4286,0.730088,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-05-16,2021-06-14,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_8a7c1f5a019c,Drought,meteorological_drought_indicator,derived_indicator,cn_kashgar,Kashgar,China,2021-08-20,2021-09-10,22,0.5,0.3,35.2,14.8,23.5,46.1,1.1,30.0,2021-07-22,2021-08-20,1.1,1.38,,1.2545,1.2545,0.429204,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2021-07-22,2021-08-20,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_87ac1c3ec00d,Drought,meteorological_drought_indicator,derived_indicator,cn_kashgar,Kashgar,China,2022-03-08,2022-03-18,11,0.6,0.6,23.9,0.9,20.0,37.1,1.5,30.0,2022-02-08,2022-03-09,1.5,2.1,,1.4,1.4,0.466814,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-02-08,2022-03-09,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_3cb840662895,Drought,meteorological_drought_indicator,derived_indicator,cn_kashgar,Kashgar,China,2022-04-30,2022-05-12,13,0.1,0.1,33.9,11.7,26.5,49.0,0.6,30.0,2022-04-01,2022-04-30,0.6,1.6400000000000001,,2.7333,2.7333,0.610619,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-04-01,2022-04-30,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_2704883d440d,Drought,meteorological_drought_indicator,derived_indicator,cn_kashgar,Kashgar,China,2022-07-23,2022-08-01,10,0.1,0.1,40.7,19.9,26.7,54.0,1.0,30.0,2022-06-24,2022-07-23,1.0,1.3,,1.3,1.3,0.442478,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2022-06-24,2022-07-23,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
drought_a58db8e6f634,Drought,meteorological_drought_indicator,derived_indicator,cn_kashgar,Kashgar,China,2023-03-29,2023-04-17,20,0.4,0.4,29.0,0.0,31.4,61.2,0.5,30.0,2023-03-17,2023-04-15,0.5,2.1,,4.2,4.2,0.672566,,,30-day rolling precipitation <= location-month 10th percentile for configured consecutive days,2023-03-17,2023-04-15,data/processed/daily_weather.csv,True,Meteorological drought indicator from rolling precipitation only; not an officially confirmed drought disaster.
