source_country,source_location,target_pakistani_location,event_type_mapping,relationship_count,minimum_lag_days,maximum_lag_days,mean_lag_days,median_lag_days,earliest_example,latest_example,caveat
India,in_new_delhi,pk_multan,Wind->Wind,8,1,8,2.25,1.5,wind_00cac14ff915,wind_c73f7ec01336,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_multan,Temperature->Temperature,8,1,3,1.875,1.5,temperature_08f1c67f088e,temperature_0fbe6a5cc7b4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_sukkur,Wind->Wind,8,1,7,2.625,1.5,wind_24448150163d,wind_fa6608d3231c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_islamabad,Temperature->Temperature,8,1,7,2.75,2.0,temperature_4da099633217,temperature_6b04db875543,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_multan,Temperature->Temperature,8,1,5,2.25,2.0,temperature_1d2fb659bd0d,temperature_201cd7ed6711,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Rainfall->Rainfall,8,1,6,3.0,2.5,rainfall_4603dd1c832b,rainfall_1e4443ccd177,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_islamabad,Rainfall->Rainfall,8,1,9,3.75,2.5,rainfall_4dce250e7b78,rainfall_be8ae8400177,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_multan,Rainfall->Rainfall,8,1,8,3.875,4.0,rainfall_81af3d12336d,rainfall_42c281e028f0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_gilgit,Rainfall->Rainfall,8,2,10,7.125,8.5,rainfall_120bfb4a11b7,rainfall_76fb22f05c1b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_islamabad,Temperature->Temperature,7,1,2,1.285714,1.0,temperature_0fdef35a54f9,temperature_a5f540c3aa6b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_islamabad,Wind->Wind,7,1,3,1.428571,1.0,wind_07d16c81c390,wind_2a3f108d55cd,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_multan,Temperature->Temperature,7,1,5,1.857143,1.0,temperature_0efffac6abcf,temperature_71f61ab1d47c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_sukkur,Temperature->Temperature,7,1,2,1.285714,1.0,temperature_1298f4e963f9,temperature_4e57e41de3a4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Temperature->Temperature,7,1,2,1.285714,1.0,temperature_013ce998af69,temperature_b36b63521823,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_sukkur,Wind->Wind,7,1,6,2.285714,1.0,wind_0ad9826d7a29,wind_2799df290093,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_multan,Wind->Wind,7,1,10,2.285714,1.0,wind_274b5ab35f98,wind_40b3ab8d294a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_sukkur,Temperature->Temperature,7,1,4,2.142857,1.0,temperature_075ee1b9ff68,temperature_7d401a0a109d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_gilgit,Wind->Wind,7,1,9,3.714286,2.0,wind_68e23f7c00ee,wind_77107b334921,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_islamabad,Rainfall->Rainfall,7,1,5,2.714286,3.0,rainfall_e1012bb26f0c,rainfall_6b8de010ba07,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_islamabad,Rainfall->Rainfall,7,1,6,3.142857,3.0,rainfall_a0f04088abee,rainfall_09c3737b8b6a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Wind->Wind,7,1,4,2.428571,3.0,wind_29313d8c1aa8,wind_9e79c520cb7a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Rainfall,6,1,9,2.666667,1.0,rainfall_1b72f14c257c,rainfall_93373aa37014,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Wind->Wind,6,1,3,1.5,1.0,wind_040914d6ba9a,wind_6c153615ef18,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_multan,Wind->Wind,6,1,8,2.166667,1.0,wind_098cfd0dbd93,wind_a01cf4bf6726,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_multan,Temperature->Temperature,6,1,3,1.5,1.0,temperature_2f3e0bea2cf3,temperature_2cea438bf0ce,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_multan,Temperature->Temperature,6,1,1,1.0,1.0,temperature_076887a8ae85,temperature_e4812367857f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_islamabad,Rainfall->Rainfall,6,1,3,1.833333,1.5,rainfall_21c27afe46d8,rainfall_b77d67a87eb0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_sukkur,Wind->Wind,6,1,3,1.666667,1.5,wind_0c82138a5aa3,wind_95bc4b689da9,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_multan,Rainfall->Rainfall,6,1,9,3.0,1.5,rainfall_1a0523ea2be8,rainfall_97dd66d345a8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_sukkur,Wind->Wind,6,1,8,3.166667,1.5,wind_0a0bb9fb656a,wind_df9fdef8dd4d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Temperature->Heatwave,6,1,5,2.0,1.5,temperature_06ae57398a21,heatwave_ae8f2dc12dc9,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_sukkur,Rainfall->Rainfall,6,1,7,3.166667,2.5,rainfall_17114603e7be,rainfall_9379216ac6a1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Rainfall->Rainfall,6,2,10,5.5,4.5,rainfall_8a9ab3907a19,rainfall_a62ad59f468c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Rainfall->Rainfall,6,1,6,4.666667,5.5,rainfall_ce5562d2e131,rainfall_abfe8f658d7a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_peshawar,Temperature->Heatwave,6,2,9,5.833333,6.0,temperature_594ebae83506,heatwave_4a11285cce4d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_islamabad,Wind->Wind,5,1,2,1.4,1.0,wind_008b05411b17,wind_038cc9e0d536,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_multan,Wind->Wind,5,1,3,1.8,1.0,wind_2843e0253bc3,wind_2ac3f0cbdbeb,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_sukkur,Wind->Wind,5,1,1,1.0,1.0,wind_273231c7995c,wind_e8ff2ee49431,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_multan,Temperature->Temperature,5,1,3,1.4,1.0,temperature_13aa441482b2,temperature_b37b9867e629,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_multan,Wind->Wind,5,1,4,1.6,1.0,wind_1ad695e6b568,wind_4691726ec536,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_sukkur,Wind->Wind,5,1,3,1.6,1.0,wind_3a02c09f38cd,wind_1f40fd2b33a1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_multan,Wind->Wind,5,1,5,2.0,1.0,wind_3bf4cc70aa64,wind_f6d2e71b2f77,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Rainfall->Flood,5,1,2,1.2,1.0,rainfall_43aedd65f4ed,flood_716fee2b6dae,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_sukkur,Heatwave->Temperature,5,1,3,1.8,1.0,heatwave_0beb2b4369b5,temperature_9753bf16a3cc,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_sukkur,Temperature->Temperature,5,1,2,1.2,1.0,temperature_1f152f35aa46,temperature_9c1b24faa6e4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_islamabad,Temperature->Temperature,5,1,3,1.6,1.0,temperature_1610596f2916,temperature_df5aaf729161,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_islamabad,Wind->Wind,5,1,3,1.6,1.0,wind_3cdad694c122,wind_d6efb6b2437d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_islamabad,Rainfall->Rainfall,5,1,4,2.4,2.0,rainfall_3ab8555e02bf,rainfall_a2406935ad91,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Rainfall->Rainfall,5,1,7,2.6,2.0,rainfall_61e7f643f2bb,rainfall_e58939187168,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_sukkur,Temperature->Temperature,5,1,2,1.6,2.0,temperature_156edec5c872,temperature_0717e440e184,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_islamabad,Temperature->Temperature,5,1,6,2.4,2.0,temperature_a9fcf979ba06,temperature_27b5f88182b0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_sukkur,Wind->Wind,5,1,2,1.6,2.0,wind_26cceaf6d5b7,wind_9740f3035ca2,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_sukkur,Wind->Wind,5,1,4,2.0,2.0,wind_617ca2b5bb43,wind_f7e009c3f1db,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Temperature->Heatwave,5,1,7,2.8,2.0,temperature_875f63c96959,heatwave_04d49e0e6326,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_sukkur,Wind->Wind,5,1,7,2.6,2.0,wind_5dfb789ba0d7,wind_36dea347178f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Wind->Wind,5,1,3,2.0,2.0,wind_77a32b4e4b27,wind_cfa17663ed12,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_sukkur,Temperature->Temperature,5,1,3,1.8,2.0,temperature_0bd5eed12d54,temperature_c955425835a8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_sukkur,Wind->Wind,5,1,4,2.4,2.0,wind_36c6ff04f564,wind_361b746b8ecd,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Heatwave->Temperature,5,1,10,3.8,3.0,heatwave_5851cb798dd0,temperature_c84a2a5a92e9,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
