source_event_id,target_event_id,source_country,source_location,target_pakistani_location,event_type_mapping,lag_days,confidence,inference_status,evidence_type,method,caveat
flood_0240e7d07c44,flood_8d5c48058df7,Afghanistan,af_herat,pk_multan,Flood->Flood,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
heatwave_49d75b0231cb,heatwave_344ceabb3ef0,Afghanistan,af_herat,pk_multan,Heatwave->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_b435102e7322,rainfall_1f965fe513db,Afghanistan,af_herat,pk_multan,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0c8409761f06,temperature_7b80a90eb720,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_123666a951e2,temperature_affe3522ecc9,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_1c6813482104,temperature_bb0247772d18,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_240a144ba9f3,heatwave_dde54c4a7e03,Afghanistan,af_herat,pk_multan,Temperature->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_240a144ba9f3,temperature_ce0712e1b6a3,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_33b8218b440e,temperature_e3a9f084d31d,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_341733d9a512,temperature_4a24bad40d16,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_681bc59af2e5,temperature_5087e1a58758,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_7fbf8188963b,temperature_1a51c8876023,Afghanistan,af_herat,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_ace040cd9bc8,wind_49fb476937ac,Afghanistan,af_herat,pk_multan,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
flood_0240e7d07c44,flood_efbf956795f1,Afghanistan,af_herat,pk_quetta,Flood->Flood,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
flood_7e99fdee2c30,flood_e4acda81f4b2,Afghanistan,af_herat,pk_quetta,Flood->Flood,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
heatwave_1eb19dc90bd1,temperature_e052414fb3b6,Afghanistan,af_herat,pk_quetta,Heatwave->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
heatwave_3e12e016aab2,heatwave_21317868abe0,Afghanistan,af_herat,pk_quetta,Heatwave->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_61e7f643f2bb,rainfall_b0f51334e102,Afghanistan,af_herat,pk_quetta,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_e19e48c82f1e,rainfall_26aa79c2ce19,Afghanistan,af_herat,pk_quetta,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_1cf221292e80,temperature_8f5686f60e46,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_24c7cd92dd21,temperature_685aa80536d1,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_26e313e8aa8e,temperature_ac175eb60b6e,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_348b844e250a,heatwave_ff33b05b4cd9,Afghanistan,af_herat,pk_quetta,Temperature->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_468a66f2447a,temperature_bed790ea3fa5,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_aedd5dab5620,temperature_8dc24b8394e8,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_b7056ee5027a,temperature_9754158d2bad,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_c9a62902a3b4,temperature_d12331f018bf,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_d67aa6ce2e61,temperature_a4bb6bea4746,Afghanistan,af_herat,pk_quetta,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_0abf2b768bf8,wind_3d5dea7b19fc,Afghanistan,af_herat,pk_quetta,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_25f738bfdab3,wind_16f2c743e5f4,Afghanistan,af_herat,pk_quetta,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_ace040cd9bc8,wind_a3ced35bb05b,Afghanistan,af_herat,pk_quetta,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_06f9e4bd6352,temperature_91fbacbd7ec1,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0c8409761f06,temperature_0811f7a11861,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_123666a951e2,temperature_422f36df927d,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_1ff827e94979,temperature_3d081e78a091,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_240a144ba9f3,temperature_f2b574b70270,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_26e313e8aa8e,temperature_999b78571fe4,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_32fa5220fd5f,temperature_47f5bac49b95,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_33b8d2cd8df2,temperature_d4873e28c03c,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_47d79089aa3d,temperature_562dbab2a494,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_7fbf8188963b,temperature_bb822c593a4b,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_95b8bd45b01f,temperature_85882354533a,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_ea1d33535a49,temperature_47d4087480ef,Afghanistan,af_herat,pk_sukkur,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_1112a0f7c7f3,wind_c91644c6e6c6,Afghanistan,af_herat,pk_sukkur,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_ace040cd9bc8,wind_c2d6d0b3acb0,Afghanistan,af_herat,pk_sukkur,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
heatwave_072147de9eda,temperature_f3d4121b0f6d,Afghanistan,af_jalalabad,pk_islamabad,Heatwave->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
heatwave_cab6aa58b58d,temperature_56381a386a2f,Afghanistan,af_jalalabad,pk_islamabad,Heatwave->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_00566a400cff,flood_4dc1ab4e228e,Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Flood,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_180b59e9d998,flood_1114e7b99006,Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Flood,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_1b72f14c257c,rainfall_f36a43206d88,Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_1fbf58ee9370,rainfall_822f58b69729,Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_2b1659d032e9,rainfall_b89422c6a9df,Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_b9b889ecf45a,rainfall_a0ed2e7d09e9,Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Rainfall,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0efffac6abcf,heatwave_eb93b77403ea,Afghanistan,af_jalalabad,pk_islamabad,Temperature->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_145e7289fc44,temperature_311dd0c4313e,Afghanistan,af_jalalabad,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_1e22cce4e807,temperature_718fbfb16ece,Afghanistan,af_jalalabad,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_3193e9d8fb2d,temperature_004ec7eab2f7,Afghanistan,af_jalalabad,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_a87027116b88,temperature_d800498d24ea,Afghanistan,af_jalalabad,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_ed13a4943c3b,temperature_feea049b82c4,Afghanistan,af_jalalabad,pk_islamabad,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_07d16c81c390,wind_b55177944db9,Afghanistan,af_jalalabad,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_28b5529556e0,wind_44fc937c0ca9,Afghanistan,af_jalalabad,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_4e1308d91235,wind_26ecfdb9e517,Afghanistan,af_jalalabad,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_cae268e4530c,wind_a6a10ddf9945,Afghanistan,af_jalalabad,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_e15864616479,wind_0eaa00a178f7,Afghanistan,af_jalalabad,pk_islamabad,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0efffac6abcf,heatwave_f182cb2dd170,Afghanistan,af_jalalabad,pk_multan,Temperature->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0efffac6abcf,temperature_82bd958d927e,Afghanistan,af_jalalabad,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_21234c2353f9,temperature_68a268f2a6b3,Afghanistan,af_jalalabad,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_3d94e2e68750,temperature_f718c7872533,Afghanistan,af_jalalabad,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_efda1d209ec7,temperature_fcd119c98af5,Afghanistan,af_jalalabad,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_fa81f4437c5a,temperature_2ffd2ea9a551,Afghanistan,af_jalalabad,pk_multan,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_2843e0253bc3,wind_4a32ac409209,Afghanistan,af_jalalabad,pk_multan,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_28b5529556e0,wind_b1b8cb5a14e1,Afghanistan,af_jalalabad,pk_multan,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
wind_cae268e4530c,wind_e796c659114f,Afghanistan,af_jalalabad,pk_multan,Wind->Wind,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
heatwave_116ccc4f23fd,temperature_a5e938e8962b,Afghanistan,af_jalalabad,pk_peshawar,Heatwave->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
heatwave_d234ea12006f,temperature_9d0e8420ec79,Afghanistan,af_jalalabad,pk_peshawar,Heatwave->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
rainfall_4a7573800986,flood_d68602b74fa8,Afghanistan,af_jalalabad,pk_peshawar,Rainfall->Flood,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_09275afbf7fc,temperature_7e9eebbbd0ba,Afghanistan,af_jalalabad,pk_peshawar,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0b8af636636d,temperature_a48f2ca77ea8,Afghanistan,af_jalalabad,pk_peshawar,Temperature->Temperature,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
temperature_0efffac6abcf,heatwave_7a3a4066b709,Afghanistan,af_jalalabad,pk_peshawar,Temperature->Heatwave,1,0.5,candidate_precursor,corridor_temporal_candidate,conservative corridor-based neighbouring-country precursor candidate to Pakistan event,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
